#
#  aracyc 22.6 Reactions link table generated on Tue Nov 27, 2018
#
RXN-12729	EC-4.4.1.8
RXN-8297	EC-1.14.19.35
RXN-14518	EC-2.5.1.114
RXN-16101	EC-1.14.19.4
1.11.1.12-RXN	EC-1.11.1.12
RXN-12415	EC-2.4.2.39
RXN-6722	EC-2.1.1.273
RXN1G-163	EC-1.1.1
SPERMIDINESYN-RXN	EC-2.5.1.16
RXN-12350	
3.2.1.37-RXN	EC-3.2.1.37
RXN0-5259	
PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19
RXN-10869	EC-2.8.2
RXN-15596	
RXN-18203	
RXN-11437	EC-4.4.1
RXN-15122	
RXN-1603	
URKI-RXN	EC-2.7.1.48
PYRROLINECARBDEHYDROG-RXN	
3.6.3.15-RXN	EC-3.6.3.15
RXN0-5363	EC-5.4.1
YEAST-SQUALENE-RXN	EC-2.5.1.21
RXN-12278	EC-3.2.1.2
D-RIBULOKIN-RXN	EC-2.7.1.47
ABC-27-RXN	EC-3.6.3.27
RXN-8441	EC-3.2.2
RXN-5761	EC-2.1.1
1.14.13.72-RXN	
CHLOROPHYLLASE-RXN	EC-3.1.1.14
RXN-12226	EC-1.14.99.45
RXN-6501	EC-2.4.1.250
RXN66-469	EC-6.2.1.3
RXN-16378	EC-1.14.19.20
RXN-8169	EC-2.4.1.298
RXN-7893	EC-1.14.99
RXN-8422	EC-4.2.3.47
RXN-13295	EC-2.3.1.199
RXN-16049	EC-1.14.19.35
DTDPGLUCOSEPP-RXN	EC-2.7.7.24
1.1.1.145-RXN	EC-1.1.1.145
RXN-9237	EC-2.1.1.64
RXN-7997	EC-2.3.1
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
RXN66-321	EC-1.3.1.72
RXN-6841	EC-1.1.99.5
RXN-14753	
RXN-13371	EC-3.1.1.91
RXN-12173	EC-4.2.2.23
RXN-947	EC-1.14.11
RXN4FS-11	EC-1.3.2
23-DIMETHYLMALATE-LYASE-RXN	EC-4.1.3.32
RXN-9243	EC-1.14.99
RXN-7248	
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
CHOLESTENONE-5-BETA-REDUCTASE-RXN	EC-1.3.1.3
RXN-14387	
RXN-8336	EC-5.2.1
RXN3DJ-64	EC-3.2.1
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
2.7.7.57-RXN	EC-2.7.7.57
RXN-8135	
RXNQT-4356	
ORNITHINE-GLU-AMINOTRANSFORASE-RXN	EC-2.6.1.13
RXN0-5228	EC-5.1.1.20
RXN-15543	EC-1.3.1.107
RXN-13734	EC-2.3.1.198
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
5.3.1.23-RXN	EC-5.3.1.23
RXN-12894	EC-3.5.1.110
RXNQT-4301	
FARNESYLTRANSTRANSFERASE-RXN	EC-2.5.1.29
RXN-7182	EC-2.7.1
INOPHOSPHOR-RXN	EC-2.4.2.1
R83-RXN	EC-3.1.3.87
RXN-8417	EC-4.2.3.69
RXN-9284	EC-4.1.1
RXN4FS-2	EC-2.1.1.71
RXN-10692	EC-1.17.1.3
RXN-13014	
RXN-13899	EC-2.4.1
TRANS-RXN-238	
3.1.3.66-RXN	EC-3.1.3.66
RXN-14384	EC-2.8.1.7
RXN-12981	EC-4.2.3.109
3.6.3.19-RXN	EC-3.6.3.19
RXNQT-4170	EC-4.2.1.bn
RXN1F-150	EC-5.5.1.19
RXN-11925	EC-1.14.13
CINNAMOYL-COA-REDUCTASE-RXN	EC-1.2.1.44
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	EC-2.1.1.222
RXN-6884	EC-1
RXN-13512	EC-2.4.1
RXN-8361	EC-1.14.19.25
RXN66-313	EC-1.1.1.170
3.6.3.34-RXN	EC-3.6.3.34
FADSYN-RXN	EC-2.7.7.2
2.4.99.3-RXN	EC-2.4.99.4
RXN-8030	EC-1.14.99
RXN-10455	EC-6.3
RXN-11213	EC-1.2.1.27
RXN-11956	EC-1.14.13
RXN0-302	EC-4.6.1.12
RXN-12293	EC-1.3.1
2.4.1.83-RXN	EC-2.4.1.83
RXN-17753	
RXN-10453	EC-2.8.2
RXN-10689	EC-2.3.1
RXN0-5116	EC-2.7.1.16
RXN-7249	
RXN-13721	EC-3.1.2.4
RXN0-6382	EC-3.6.1.9
RXN-11950	EC-1.1.1
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	EC-4.1.1.33
RXN-4264	EC-1.1.1.51
UDP-GLUCURONOSYLTRANSFERASE-RXN	EC-2.4.1.17
ACETOACETATE-DECARBOXYLASE-RXN	EC-4.1.1.4
RXN-18184	
RXN-12189	EC-2.1.1
CERAMIDE-KINASE-RXN	EC-2.7.1.138
RXN-11432	EC-3.4.19
2.4.1.68-RXN	EC-2.4.1.68
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
RXN-1064	EC-1.11.2.3
MBCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
RXN-8147	EC-1.14.11.31
